compound,agl_thermal_conductivity_300K,natoms,agl_bulk_modulus_static_300K,ael_poisson_ratio,agl_debye,agl_gruneisen,agl_heat_capacity_Cp_300K,agl_thermal_expansion_300K,density,Egap,Bravais_lattice_lattice_type,ael_speed_sound_average
Mn4O14Sb4,3.67755,22,156.427,0.26177,561.883,2.43259,57.7071,4.4881e-05,5.67964,0.0,FCC,4300.34
La1O3Ti1,3.68015,5,158.455,0.378685,374.046,2.30328,14.3526,4.42529e-05,6.08968,0.0,CUB,3047.75
La4O12Y4,3.70853,20,132.302,0.300216,429.92,2.02115,55.5736,3.67016e-05,5.78322,4.5627,ORC,3550.18
Bi2O8V2,3.72026,12,142.569,0.347627,386.0,1.99515,33.9657,3.64413e-05,6.02418,2.7616,BCT,2733.38
O4S1Sr1,3.73259,6,102.04,0.369511,402.943,2.03149,17.0107,4.92425e-05,3.24891,3.9262,FCC,2284.17
Li4O8Rh4,3.73499,16,171.653,0.316524,536.08,2.22206,42.5278,4.73246e-05,5.94794,2.3816,FCC,3230.0
Er6Ga2O12,3.74371,20,155.895,0.300327,411.057,2.0061,56.0507,3.75446e-05,8.4373,3.5672,ORCC,3062.42
Mg2O8Rh4,3.77398,14,182.78,0.342176,482.016,2.20242,38.0571,3.86828e-05,6.02846,2.1913,FCC,3449.92
Na4O12Sb4,3.77467,20,121.915,0.231539,567.262,2.44706,52.5652,5.12428e-05,4.57789,1.4776,FCC,4399.78
O1Pb1Sr3,3.77771,5,38.4608,0.182157,254.024,2.10503,15.259,8.08315e-05,5.68641,0.0,CUB,2637.54
Cd1O6Pt3,3.78171,10,192.442,0.332102,377.132,2.3447,28.5854,3.94568e-05,10.8692,0.5795,ORCC,2852.45
Bi4Cr4O12,3.78178,20,166.366,0.296333,441.124,2.10001,55.4295,3.9244e-05,8.41289,1.5496,ORC,3346.41
Ba1O3Pa1,3.79553,5,110.168,0.376,254.056,1.82809,14.7831,3.67902e-05,7.56406,0.0,CUB,2196.42
O12Rh4U2,3.82191,18,204.459,0.338285,439.038,2.12026,49.6866,3.16671e-05,8.03756,1.4152,TET,3222.26
La2O3,3.83825,5,88.267,0.352649,293.963,2.06919,14.6761,3.9689e-05,4.59725,1.6,HEX,2805.04
O28P8Zr4,3.84663,40,158.117,0.314294,647.984,2.01705,97.7726,2.72127e-05,2.81595,4.4684,CUB,4838.03
Co4O14Sb4,3.85683,22,164.945,0.267117,561.802,2.38557,57.5756,4.31175e-05,5.98438,0.9008,FCC,4126.02
O1Pb1Yb3,3.88396,5,47.2028,0.172938,224.922,2.0748,15.3422,7.88235e-05,10.542,0.0,CUB,2197.97
Bi4O14Ti4,3.89553,22,168.143,0.307087,453.08,2.03077,60.3948,3.47288e-05,7.23387,2.8929,FCC,3517.43
O2Pb2,3.91442,4,64.6239,0.2789,239.04,2.09353,12.0913,6.02925e-05,8.32366,1.6215,TET,1235.5
As4O12Sr2,3.96712,18,141.144,0.281675,546.954,2.28067,47.5068,4.46925e-05,4.73947,3.2419,HEX,3772.92
O1Sn1Yb3,3.976,5,50.7189,0.203059,233.047,2.02618,15.2313,7.24494e-05,9.43152,0.0,CUB,2397.18
Gd4O14Sn4,4.03794,22,152.748,0.271976,464.846,2.14732,60.2585,3.80546e-05,7.23794,2.1547,FCC,3733.35
Ba6O18Ti6,4.05023,30,144.107,0.256314,531.105,2.08153,79.2685,3.74522e-05,5.5749,2.1853,HEX,4140.8
Ca4O12Ru4,4.07978,20,166.307,0.30482,543.934,2.15204,52.5795,3.9249e-05,5.31536,0.0,ORC,4130.04
O8Rh4Zn2,4.08247,14,190.67,0.331021,476.918,2.21472,38.1606,3.84124e-05,7.06112,2.0292,FCC,3377.56
Dy4Li4O8,4.09064,16,123.195,0.28225,437.913,1.96825,44.5625,4.78268e-05,6.59218,4.5771,ORC,3367.34
Ag2Al2O4,4.10466,8,146.471,0.346996,426.115,2.11131,22.4643,4.83282e-05,6.06196,1.6901,HEX,3122.21
O14Sn4Tb4,4.11772,22,156.873,0.272806,468.076,2.14609,60.1677,3.76806e-05,7.41013,2.2244,FCC,3739.03
O8Th4,4.12168,12,182.646,0.347331,344.996,2.0483,34.366,2.88771e-05,9.54116,3.165,ORC,2594.19
Dy4O14Sn4,4.15721,22,157.991,0.270836,468.02,2.14457,60.1346,3.76102e-05,7.54439,2.2087,FCC,3722.4
In4Mg2O8,4.1691,14,136.769,0.29984,467.106,2.12797,38.4813,4.46204e-05,5.75203,1.9939,FCC,3559.01
Cs2O4Y2,4.1819,8,84.1012,0.279562,348.994,2.08279,23.2336,5.19717e-05,5.56123,2.8353,HEX,2922.41
O24Sc16,4.23674,40,159.052,0.289962,655.959,1.9357,97.4508,3.18371e-05,3.61456,4.276,BCC,5103.18
Ga2O12Y6,4.24501,20,147.576,0.303763,494.018,2.01076,53.8544,3.67318e-05,5.26527,3.7068,ORCC,3742.92
Ge2Mg2O6,4.25803,10,182.446,0.359963,525.878,2.13272,26.6514,4.4636e-05,5.06576,2.4289,ORCC,3441.76
Ho4O14Sn4,4.25834,22,158.78,0.268858,469.877,2.13811,60.098,3.75956e-05,7.65603,2.1953,FCC,3719.41
Dy4O14Ru4,4.26953,22,187.734,0.295453,483.999,2.13383,59.5295,3.42479e-05,7.85734,0.553,FCC,3703.12
Er4O14Sn4,4.27273,22,159.914,0.269272,468.959,2.13283,60.1182,3.75243e-05,7.76459,2.173,FCC,3695.24
Ga4Ho4O12,4.28497,20,180.77,0.296736,472.899,2.06875,54.5211,3.81364e-05,8.41444,3.7695,ORC,3478.05
Cu2O4Sr2,4.29353,8,97.3228,0.287517,413.792,2.15882,22.7595,5.83123e-05,5.18432,0.0,ORCC,3206.39
Co4O12Se4,4.29365,20,139.755,0.276703,541.148,2.06943,52.8131,4.51054e-05,5.23267,3.1502,ORC,3272.96
O14Pb4Sb4,4.30099,22,127.236,0.196273,467.914,2.27071,60.6059,4.61729e-05,7.99908,0.0,FCC,3883.87
Li4O12Sb4,4.32974,20,147.647,0.248087,606.038,2.34193,51.1626,4.86507e-05,5.1859,2.1418,ORC,3842.45
Ge1O8Zr3,4.33192,12,214.648,0.376214,472.947,2.04786,32.5512,3.1055e-05,5.7573,3.8792,BCT,3336.71
Er4O14Ru4,4.33276,22,190.688,0.295739,482.938,2.12263,59.5573,3.41074e-05,8.09935,0.555,FCC,3660.95
H4In4O8,4.3398,16,153.727,0.286439,538.785,2.12241,42.5378,5.1703e-05,6.35968,1.7219,CUB,3795.84
Ho4O14Ru4,4.36323,22,189.487,0.293876,486.072,2.12943,59.465,3.41245e-05,7.98764,0.5524,FCC,3689.22
Cd4O12V4,4.43936,20,181.275,0.301575,537.872,2.12647,52.6891,3.77807e-05,6.29411,0.4482,ORC,3924.88
Co1O6Pt3,4.44125,10,201.604,0.325712,403.884,2.30266,28.2318,3.83417e-05,10.6579,0.5743,ORCC,2936.66
La2O8P2,4.44492,12,154.416,0.348994,467.07,2.04585,32.7296,3.45922e-05,4.52769,5.3868,BCT,3157.69
Mg1O6Pt3,4.45721,10,197.113,0.326233,408.933,2.28788,28.1801,3.8835e-05,10.1427,0.6517,ORCC,2960.0
Ca4O8Sn2,4.51284,14,120.41,0.277799,513.812,2.16232,37.6645,4.79204e-05,4.54336,2.457,ORC,3985.83
O12Sb4Zn2,4.52183,18,176.75,0.268408,564.175,2.40618,47.0107,4.19352e-05,6.46102,0.7321,TET,4113.59
Nb8O24Zn4,4.53052,36,213.379,0.304381,609.891,2.01526,90.2161,2.80572e-05,5.5622,3.6269,ORC,3771.16
Ge2Mn4O8,4.53693,14,160.312,0.311379,536.919,2.14513,37.0911,4.45385e-05,5.41548,0.8331,ORC,3909.66
Cu2Ga2O4,4.54873,8,148.319,0.332897,452.028,2.17319,22.2384,4.91775e-05,6.10941,1.0375,HEX,3355.77
Ce2O8V2,4.55947,12,139.283,0.341061,442.07,1.9751,33.0955,3.44796e-05,4.54933,2.4075,BCT,3150.62
O14Sn4Y4,4.5744,22,155.791,0.272322,523.879,2.1438,58.401,3.68274e-05,5.87171,2.2481,FCC,4178.82
Ca4O12Tc4,4.57881,20,169.313,0.285356,584.842,2.25517,51.3535,3.82335e-05,5.09335,0.7858,ORC,4438.65
O1Sn1Sr3,4.58204,5,41.3158,0.188473,285.887,2.06356,15.0382,7.37819e-05,4.73595,0.0,CUB,2972.25
Bi1Co1O3,4.5882,5,130.719,0.351931,333.099,2.05474,14.5349,4.53047e-05,7.58313,0.6847,TET,1961.88
Cr4Mn2O8,4.60207,14,165.87,0.334156,539.934,2.06594,36.8581,3.92546e-05,4.642,2.3446,FCC,4002.51
Ni2O12Sb4,4.63346,18,180.043,0.270642,571.101,2.40259,46.7844,4.07894e-05,6.3481,0.8785,TET,4224.3
Mg4O8Sn2,4.63605,14,134.33,0.301591,531.04,2.06063,37.2208,4.66736e-05,4.60609,1.5203,FCC,4031.34
Bi4O14Ru4,4.65744,22,177.832,0.263872,479.911,2.17007,59.7278,3.55198e-05,8.66097,0.0,FCC,3639.43
Ga4Li4O8,4.67502,16,120.112,0.275551,581.879,2.02503,41.4373,5.29201e-05,4.06256,3.3069,ORC,3744.22
Mo2O12Rh4,4.68684,18,227.281,0.329861,543.991,2.22262,47.1105,3.11098e-05,6.52266,0.0544,TET,3910.92
O24Si12,4.68816,36,114.446,0.283089,711.087,1.95684,84.266,2.88158e-05,1.76068,4.9689,CUB,4530.97
Mn4O14Y4,4.72584,22,162.857,0.252137,626.856,2.32621,55.2608,4.22069e-05,5.22444,0.8556,FCC,4887.82
Ba2O14U4,4.72901,20,138.36,0.277781,408.967,1.91951,55.886,3.28336e-05,7.43438,2.9088,BCT,2406.93
Cu2O4Sc2,4.74294,8,128.82,0.344831,451.148,2.02606,22.1171,4.39598e-05,4.33637,2.6414,HEX,3521.31
O14Ru4Y4,4.75822,22,185.409,0.29575,546.998,2.13296,57.5,3.32709e-05,6.01864,0.5591,FCC,4203.77
As2O8Tb2,4.84113,12,153.946,0.310807,463.031,2.15877,32.9147,3.8367e-05,6.01518,3.6548,BCT,3298.54
Cr2Cu2O4,4.84194,8,152.151,0.341436,472.135,2.13391,21.9533,4.55453e-05,5.32897,1.6367,HEX,3499.26
Mn3Nb6O11,4.85083,20,193.73,0.32303,518.956,2.03629,52.9475,3.00406e-05,5.88515,0.4695,HEX,3825.73
Co2O2,4.85589,4,122.06,0.37313,377.864,1.97713,11.4625,5.09495e-05,4.9955,1.011,HEX,2906.97
O8Pr2V2,4.8759,12,142.546,0.336063,451.98,1.97185,32.9257,3.41288e-05,4.6491,2.7093,BCT,3228.48
Cd1O6Sb2,4.88431,9,151.986,0.305361,461.915,2.34658,24.8449,4.34165e-05,6.22351,1.4565,HEX,3088.53
Al2Au2O4,4.9083,8,164.525,0.318378,400.919,2.17875,22.6833,4.4783e-05,9.25458,0.9622,HEX,2971.51
Na2O1,4.91614,3,40.4111,0.246272,435.964,2.04737,8.86953,0.00013755,2.38016,1.9195,FCC,3811.26
O3Ru1Sr1,4.93488,5,135.371,0.280701,476.775,2.83148,14.032,6.27366e-05,6.12877,0.0,CUB,3865.81
C4O12Sr4,4.93664,20,121.976,0.277879,578.81,1.95665,51.4799,4.16906e-05,3.64297,4.4409,ORC,3115.29
Cd4O12Ti4,4.97296,20,180.303,0.295943,551.972,2.08799,52.1785,3.57114e-05,5.99856,2.6187,ORC,4178.63
I1K1O3,4.97774,5,103.197,0.275584,457.167,2.5939,14.1431,6.56784e-05,4.79478,0.0,CUB,3860.4
Dy4O14Tc4,5.00051,22,187.031,0.280721,505.984,2.11024,58.8015,3.28746e-05,7.63422,1.3957,FCC,3881.58
As2Dy2O8,5.04372,12,155.687,0.305848,468.138,2.15806,32.8239,3.82436e-05,6.15381,3.629,BCT,3306.64
Bi1O2,5.05798,3,128.75,0.346792,301.038,2.23717,8.87389,5.05163e-05,9.50777,0.0,FCC,2393.18
Br1Li3O1,5.08135,5,43.5217,0.205538,454.188,1.89027,14.5097,0.000131379,3.01647,4.2806,CUB,3777.94
O8Si2Zn4,5.11332,14,158.261,0.327952,537.145,1.94737,36.8695,3.95327e-05,4.73351,3.3701,BCT,3661.33
O4Te2,5.12679,6,142.519,0.344181,393.969,2.17412,17.0061,4.00819e-05,5.95761,0.0,TET,3178.45
N8O4,5.12946,12,66.0354,0.246405,673.123,2.09403,29.4554,5.94606e-05,1.38626,3.331,CUB,1535.66
Ba2C8O8,5.15933,18,123.483,0.312072,557.011,1.8444,46.7269,3.64036e-05,3.16728,2.5632,BCT,2743.98
O8P2Pr2,5.22204,12,162.138,0.33873,488.945,2.01814,32.3375,3.35985e-05,4.78151,4.0572,BCT,3306.88
Hf4La4O14,5.26227,22,168.003,0.26995,465.086,2.0226,59.8796,3.07248e-05,7.73588,4.4648,FCC,3730.17
Ge2Ni4O8,5.28083,14,175.227,0.30369,559.866,2.13317,36.5333,4.18735e-05,5.86812,1.9703,FCC,4118.07
Ga4O12Te2,5.29373,18,186.699,0.268034,606.106,2.32431,45.7473,4.00908e-05,6.24661,0.8257,TET,4405.12
Al2O4Rb2,5.31359,8,87.0913,0.29825,437.139,1.92656,22.3192,5.04477e-05,3.596,3.3753,FCC,3778.17
Al4Cd2O8,5.34032,14,168.776,0.324604,547.086,1.97896,36.6475,3.85741e-05,5.03801,2.8029,FCC,4052.86
La4O14Zr4,5.3462,22,160.045,0.276298,512.047,2.03644,58.4752,3.09565e-05,5.78358,3.7972,FCC,4122.33
Cu2O3Sr1,5.34777,6,104.741,0.295005,424.165,2.13458,16.9738,5.71792e-05,5.3465,0.0,ORCC,3207.39
Er4O14Tc4,5.35573,22,189.886,0.273255,514.094,2.09886,58.5289,3.2543e-05,7.86351,1.2928,FCC,3894.06
Mg2O12Sb4,5.37528,18,172.722,0.249984,613.893,2.382,45.5652,4.07399e-05,5.75937,1.0418,TET,4523.8
Gd2O8V2,5.37694,12,151.183,0.327495,459.076,1.96157,32.8037,3.40348e-05,5.29012,2.9412,BCT,3266.5
Al2Li10O8,5.39709,20,91.8434,0.234411,793.099,1.86514,44.8169,6.2861e-05,2.16608,4.7955,ORC,5356.67
Hf4O12Sr4,5.40067,20,159.68,0.260425,477.945,2.0481,54.2185,3.41452e-05,7.50283,3.9614,ORCC,3803.14
La3O12P3,5.40539,18,127.694,0.281289,532.135,2.02709,47.3946,3.38603e-05,3.84544,5.2512,HEX,3790.88
O28P8Ti4,5.41219,40,167.073,0.27987,783.095,2.02954,88.6696,2.60232e-05,2.62021,3.0926,CUB,5459.71
O4S4Zr4,5.46648,12,148.355,0.328682,457.086,1.99064,32.7949,3.13485e-05,4.81625,2.4226,CUB,3551.48
Hf4O4S4,5.46788,12,159.952,0.315622,385.996,1.95993,33.8416,3.08018e-05,8.11561,2.8657,CUB,2942.51
Dy2O8V2,5.50685,12,157.745,0.326667,463.08,1.96983,32.7461,3.39074e-05,5.5842,2.9629,BCT,3273.33
Bi1In1O3,5.54031,5,132.827,0.317674,348.998,2.17887,14.4817,4.54492e-05,8.608,0.2241,CUB,2835.39
Mn2O6Y2,5.55972,10,145.057,0.312393,503.884,2.12347,26.8985,4.11879e-05,4.88724,0.0,HEX,4044.68
La4O14Ti4,5.5638,22,166.285,0.280282,552.056,2.0271,57.2375,3.1944e-05,5.40576,3.2676,FCC,4397.86
Al2K2O4,5.56473,8,87.1839,0.317047,500.164,1.89642,21.5991,4.87307e-05,2.48498,2.9344,FCC,4306.82
Cl2O2Y2,5.58495,6,100.303,0.318329,392.067,2.00395,17.0344,4.49195e-05,4.49239,5.0652,TET,2876.92
Ca2O6Pt2,5.58614,10,170.471,0.292502,468.161,2.25328,27.4696,4.20628e-05,7.95575,1.6237,ORCC,3280.16
O12Sb8,5.58758,20,98.2339,0.169484,494.048,2.13761,54.1383,4.24931e-05,5.12145,3.3387,FCC,1512.2
Li4Mn4O8,5.61154,16,134.591,0.235106,711.258,2.24776,38.238,5.53858e-05,4.01866,1.2158,BCT,4422.92
Cd4O14Ta4,5.6234,22,186.161,0.269643,499.029,2.06734,58.8812,3.0619e-05,7.93969,2.1174,FCC,3560.89
Ga1O3Pr1,5.63216,5,103.733,0.324064,370.09,2.02322,14.3461,4.70768e-05,5.28417,0.6346,CUB,3156.27
Ga2In2O6,5.6648,10,162.978,0.306703,486.162,2.15517,27.1792,4.15092e-05,6.54426,1.5028,HEX,3778.8
Ge2Li4O6,5.67772,12,109.256,0.2609,632.103,2.07511,30.2479,5.80151e-05,3.34906,3.5103,ORCC,3770.78
Bi1Er2O2,5.75289,5,99.2872,0.294714,272.952,1.96145,14.7542,4.00837e-05,9.57097,0.0,BCT,2075.85
Cr2Ho2O8,5.7556,12,153.683,0.305083,483.01,2.05185,32.5096,3.67273e-05,5.76995,0.19,BCT,3442.6
Ga4Mg2O8,5.80634,14,164.183,0.298482,583.895,2.06986,35.9677,4.11416e-05,5.06641,3.291,FCC,4291.26
O6Sn2Sr2,5.80732,10,123.246,0.242096,490.157,2.31156,27.3271,4.90584e-05,5.92798,1.1654,BCT,4059.7
Ca3O12S3,5.81437,18,112.131,0.259592,674.113,2.08715,43.6306,4.02591e-05,2.4795,5.6793,HEX,4044.67
La2O2Te1,5.815,5,86.6415,0.293289,302.027,2.02509,14.6406,4.03686e-05,6.21099,1.9022,BCT,2441.86
Cr2Er2O8,5.86044,12,155.035,0.303846,483.89,2.04561,32.4867,3.65879e-05,5.88616,0.188,BCT,3440.73
Gd4Hf4O14,5.86906,22,179.098,0.262282,472.1,1.98394,59.6557,3.04456e-05,8.75272,3.4526,FCC,3608.19
O2Sn1,5.86964,3,169.009,0.363508,396.082,2.39625,8.56376,4.68979e-05,7.05277,0.0,FCC,2978.3
Ba1O4S1,5.87666,6,95.6691,0.303997,434.966,2.06817,16.775,4.90283e-05,3.84765,4.5103,FCC,2488.62
Dy4Hf4O14,5.90862,22,184.48,0.263349,473.059,1.988,59.6344,3.03805e-05,9.10692,3.2266,FCC,3580.41
Mg8O8,5.91195,16,112.991,0.270176,670.158,1.94337,38.9723,4.76377e-05,2.81668,3.0749,ORCI,5089.47
Hf4Ho4O14,5.91332,22,185.617,0.263298,471.953,1.98485,59.6499,3.0352e-05,9.21326,3.1166,FCC,3548.74
O2Zn2,5.94554,4,158.323,0.363494,409.102,1.99961,11.3208,5.1697e-05,7.16434,1.8555,HEX,2897.1
O10Ti6,5.9605,16,170.243,0.328966,603.166,1.96294,40.3132,3.12452e-05,3.66531,1.1285,ORCC,4560.23
Co1O3Sr1,5.97575,5,118.375,0.307579,449.896,2.14929,14.0016,5.9717e-05,5.58305,0.0,CUB,3669.01
Er4Hf4O14,5.98782,22,186.753,0.262457,472.974,1.9824,59.6327,3.03539e-05,9.33528,3.0089,FCC,3541.46
C2Ca2O6,5.9987,10,128.546,0.33844,601.064,1.93522,25.3634,4.03583e-05,2.58861,4.6261,ORCC,3152.93
Bi1Dy2O2,6.01725,5,96.995,0.289566,277.981,1.96273,14.7355,4.00555e-05,9.1897,0.0,BCT,2128.31
Bi1Ho2O2,6.01931,5,98.0588,0.288669,278.066,1.96598,14.7357,4.0204e-05,9.3798,0.0,BCT,2109.59
Mn1Ni6O8,6.02782,15,167.219,0.279984,581.087,2.0437,38.6321,4.2518e-05,5.93715,1.2282,FCC,4118.99
Ga4O8Zn2,6.06248,14,171.312,0.287558,563.798,2.07936,36.4072,4.10948e-05,6.118,2.8556,FCC,4104.62
H2In2O4,6.12877,8,149.75,0.299859,516.98,2.1279,21.5261,5.18324e-05,6.11075,2.0422,ORC,3721.04
Ca3O1Pb1,6.14242,5,48.4151,0.168759,334.014,2.03197,14.7825,7.28692e-05,4.90302,0.0,CUB,3267.18
Al2O8P2,6.164,12,127.267,0.353801,596.873,1.89534,30.293,2.87213e-05,1.88752,5.3305,HEX,5006.68
Cr2O8Tb2,6.18622,12,150.474,0.295242,497.909,2.05716,32.2544,3.6456e-05,5.5207,0.1927,BCT,3553.81
O4Sn2,6.18729,6,157.623,0.309461,466.003,2.40753,16.5493,4.36746e-05,6.32339,0.3843,ORC,3693.84
Mg4O12Se4,6.21231,20,132.507,0.231982,646.13,2.03,49.4655,4.35101e-05,4.25523,4.0086,ORC,3826.79
O14V4Y4,6.22808,22,186.192,0.285263,625.851,2.03061,54.6916,3.13195e-05,5.014,0.8073,FCC,4775.38
O8Zn4,6.29213,12,145.855,0.277165,569.997,1.98233,31.2472,5.09336e-05,5.72001,2.753,CUB,4028.59
Ni2O2Zr6,6.3661,10,148.305,0.308896,396.917,1.95239,28.0656,3.11031e-05,7.1175,0.0,ORCC,3349.21
Mn1O3Sr1,6.37594,5,114.794,0.220518,541.336,2.67903,13.6335,7.26335e-05,5.38267,0.0,CUB,4494.4
Al4O8Pb2,6.38406,14,119.284,0.255532,491.021,1.92899,37.8013,4.03914e-05,5.2348,3.9547,ORCC,2993.83
O8V2Y2,6.43648,12,155.411,0.324975,538.137,1.95964,31.4493,3.26278e-05,4.08029,2.9571,BCT,3819.28
Cr4O12Te2,6.43882,18,193.028,0.267826,647.782,2.22796,44.2923,3.5278e-05,5.52627,1.2773,TET,4820.05
Hf4O14Y4,6.43897,22,182.207,0.262609,521.062,1.98906,58.1318,2.97851e-05,7.36826,3.3362,FCC,3942.02
Gd4O14Ti4,6.45483,22,178.949,0.268256,560.876,1.97634,56.8863,3.12767e-05,6.3214,3.2737,FCC,4324.49
Ba2O4Zr1,6.45536,7,111.192,0.277707,403.063,2.11021,19.7649,4.17284e-05,5.81724,2.9804,BCT,3397.06
Ca2O2,6.46607,4,81.5229,0.32435,445.101,1.99004,11.1643,5.53125e-05,2.77483,3.1113,HEX,3841.69
Ca4N8O24,6.49476,36,112.98,0.154564,894.648,2.0932,73.3733,3.93043e-05,2.35409,3.6739,CUB,2406.53
Bi1O2Y2,6.52619,5,94.0575,0.292299,316.017,1.96785,14.5639,4.04529e-05,6.71986,0.0,BCT,2435.72
Cr4Mg2O8,6.52937,14,169.972,0.305025,636.132,2.04676,34.7063,3.71844e-05,4.18264,2.7649,FCC,4623.25
Gd2O8P2,6.54379,12,172.486,0.314872,519.102,2.0151,31.8107,3.32404e-05,5.48174,5.5739,BCT,3444.47
C1Li4O4,6.5548,9,98.3277,0.307004,728.386,1.87805,21.1591,5.88001e-05,1.87179,4.6927,BCT,4477.3
Ce2O8Si2,6.57371,12,180.507,0.324046,540.919,2.05868,31.4108,3.11783e-05,4.91079,2.0285,BCT,3940.8
O14Y4Zr4,6.58133,22,173.61,0.271695,583.924,2.00198,56.0792,2.96307e-05,5.25984,2.7011,FCC,4444.84
Dy4O14Ti4,6.58296,22,185.215,0.267179,563.873,1.98306,56.7848,3.10801e-05,6.62585,3.2411,FCC,4309.14
Cr4O8Zn2,6.60566,14,177.21,0.296564,601.935,2.05491,35.4803,3.75622e-05,5.20196,2.6349,BCT,4368.69
Er4O14Ti4,6.62512,22,187.747,0.266916,560.982,1.97424,56.8509,3.10007e-05,6.84679,3.1172,FCC,4257.69
O14Tb4Ti4,6.63451,22,184.267,0.266086,567.945,1.98553,56.6322,3.09264e-05,6.48621,3.3021,FCC,4354.63
Ba1O2,6.66459,3,72.9023,0.265379,352.112,2.15098,8.80885,6.80887e-05,5.41233,2.2186,BCT,2896.65
Ce2O4,6.72636,6,147.409,0.339159,398.992,2.05283,16.8666,3.27931e-05,5.81356,2.4966,TET,3244.26
O2Ti6,6.73611,8,147.315,0.342659,463.026,1.92157,21.813,3.29872e-05,4.49022,0.0,HEX,3593.98
O2Se2Th2,6.7443,6,124.878,0.297089,314.984,2.06155,17.3987,3.15734e-05,8.68675,0.9607,TET,2758.42
Na4O8W2,6.76355,14,126.459,0.249075,536.064,2.01072,36.9508,4.04581e-05,4.93288,4.9017,FCC,2768.96
Co2O12Sb4,6.78386,18,172.322,0.272532,575.084,2.03875,46.2611,3.54746e-05,6.28068,0.7899,TET,4158.96
Ca4O12Si4,6.79762,20,202.806,0.294614,756.838,2.07278,45.4534,3.35071e-05,4.10442,3.6913,ORC,5456.3
O2Tb2Te1,6.81717,5,103.003,0.287044,311.045,1.98815,14.5798,3.93391e-05,8.07459,1.1749,BCT,2438.64
