Oxides,Lattice_type,Bulk_Modulus,Density,Heat_capacity,Debye_Temperature,Gruneisen_parameters,Egap,Poisson_ratio,Thermal_expansion,Unitcell_atoms,Speed_of_sound,Thermal_Conductivity
Ba1Cu3O4,7,96.7633,5.26864,22.9837,431.178,2.57834,0.6706,0.287911,7.01E-05,8,2984.71,3.57166
O3Sr1Ti1,2,159.385,4.86033,12.079,670.946,2.04082,2.29,0.217688,3.35E-05,5,5164.65,21.4744
La3O12P3,4,127.694,3.84544,47.3946,532.135,2.02709,5.2512,0.281289,3.39E-05,18,3790.88,5.40539
Cr4Hg2O8,3,151.424,7.07091,40.0156,380.012,2.14452,1.2025,0.355552,4.48E-05,14,2893.52,2.5102
Dy4O14Ti4,3,185.215,6.62585,56.7848,563.873,1.98306,3.2411,0.267179,3.11E-05,22,4309.14,6.58296
Ge2Li4O6,7,109.256,3.34906,30.2479,632.103,2.07511,3.5103,0.2609,5.80E-05,12,3770.78,5.67772
As2Dy2O8,1,155.687,6.15381,32.8239,468.138,2.15806,3.629,0.305848,3.82E-05,12,3306.64,5.04372
Ga2In2O6,4,162.978,6.54426,27.1792,486.162,2.15517,1.5028,0.306703,4.15E-05,10,3778.8,5.6648
Ca4O12Rh4,6,159.993,5.39781,53.1771,529.806,2.22486,0.2367,0.305769,4.28E-05,20,3994.37,3.53915
Hf1O3Pb1,2,160.132,10.0371,14.0847,397.035,2.06793,2.4164,0.275017,3.48E-05,5,3230.26,10.6517
Al2Au2O4,4,164.525,9.25458,22.6833,400.919,2.17875,0.9622,0.318378,4.48E-05,8,2971.51,4.9083
O14Pt4Sb4,3,160.953,9.23088,63.3976,364.067,2.24919,0,0.340411,4.53E-05,22,3205.43,1.88474
Bi1Co1O3,9,130.719,7.58313,14.5349,333.099,2.05474,0.6847,0.351931,4.53E-05,5,1961.88,4.5882
Bi1O2Y2,1,94.0575,6.71986,14.5639,316.017,1.96785,0,0.292299,4.05E-05,5,2435.72,6.52619
Ag2In2O4,4,103.268,6.88202,24.0486,270.026,2.27581,0.6242,0.380112,5.93E-05,8,2155.67,1.49327
O14Y4Zr4,3,173.61,5.25984,56.0792,583.924,2.00198,2.7011,0.271695,2.96E-05,22,4444.84,6.58133
O6Re2,4,249.637,8.21381,19.5407,647.878,2.1704,0,0.227756,2.45E-05,8,3969.38,19.32
O1Ta4,9,205.203,15.2225,14.5963,275,1.9503,0,0.356203,2.36E-05,5,2269.9,7.12301
Al4O8Zn2,3,188.451,4.57291,31.7367,757.013,1.91026,4.4888,0.2558,3.27E-05,14,5349.62,11.6634
Ni2O12Ta4,9,228.417,8.11914,47.0091,540.12,2.03831,2.8841,0.290689,2.71E-05,18,3674.85,7.28957
Cd4O8Sn2,6,133.082,7.18237,40.7167,351.156,2.27363,0.3593,0.350424,5.07E-05,14,2673.32,1.9816
O8Pb2Sr4,6,92.5458,6.52283,41.0225,347.157,2.23818,1.4054,0.290148,5.98E-05,14,2852.22,2.31137
Ge2Mg4O8,3,156.657,4.22161,32.9208,717.119,2.08234,3.0137,0.243537,4.06E-05,14,5274.47,8.56027
As2O8Tb2,1,153.946,6.01518,32.9147,463.031,2.15877,3.6548,0.310807,3.84E-05,12,3298.54,4.84113
Na1Nb1O3,2,174.188,4.29332,11.9962,678.807,2.0755,1.8358,0.259389,3.07E-05,5,5395.58,19.219
Ca1O3Ti1,2,164.107,3.74852,11.5432,733.176,1.99003,2.3664,0.249325,3.16E-05,5,5741.31,21.6331
Bi1Dy2O2,1,96.995,9.1897,14.7355,277.981,1.96273,0,0.289566,4.01E-05,5,2128.31,6.01725
Ca4O8Pb2,6,106.68,5.83151,39.7953,413.107,2.18196,1.4857,0.287493,5.56E-05,14,3271.71,3.10819
Ca2O6Ti2,1,167.779,3.84548,22.7278,754.127,2.00344,2.7874,0.239333,3.14E-05,10,5720.6,14.4852
Bi4Ga4O12,6,130.857,7.54535,56.4021,406.865,2.0925,1.9081,0.281466,4.28E-05,20,2639.56,3.34915
O4Os2,9,270.018,11.1687,16.336,464.095,2.20818,0,0.325263,2.77E-05,6,3425.1,10.2115
Al8O20Si4,6,185.652,3.05912,64.4979,898.82,1.92413,4.8388,0.24368,2.57E-05,32,5911.45,8.99218
Cs6Ni2O4,9,27.3577,4.68948,38.5288,171.929,2.23058,1.3118,0.32228,0.00012407,12,1563.44,0.488223
Al8C2O8,7,143.79,2.67094,41.13,745.098,1.87543,3.816,0.277917,3.18E-05,18,5501.9,8.40465
O12Si6,4,107.923,1.54727,42.3908,699.912,1.89893,5.4901,0.286619,2.63E-05,18,5664.57,7.91396
O1Sc1,3,145.014,4.28234,5.08991,612.049,2.32961,0,0.27327,4.69E-05,2,4798.6,18.4002
Al4Gd4O12,6,190.221,7.22382,50.6796,595.98,1.96091,4.9566,0.247669,3.34E-05,20,4272.38,7.79564
Al1La1O3,2,184.401,6.31276,12.2563,647.861,2.01793,3.1268,0.224046,3.25E-05,5,4973.68,22.272
Na2Nb2O6,9,177.94,4.42281,22.1297,786.834,2.08414,1.8633,0.190913,2.86E-05,10,5314.11,18.5039
O1U1,3,113.812,12.5121,5.90503,269.044,1.83502,0,0.306193,4.01E-05,2,2218.55,12.2363
Al4Mg2O8,3,180.56,3.46739,30.4768,809.086,1.90248,5.1166,0.273144,3.19E-05,14,5830.03,11.24
O1V1,3,152.36,5.01979,5.06669,607.913,2.06649,0.5352,0.270069,4.25E-05,2,4497.18,25.0924
O6Rb4Tb2,7,49.1524,4.70609,36.4933,238.924,1.92586,0,0.335463,7.45E-05,12,1726.99,1.27197
Ca1O3Si1,2,203.749,4.11037,10.0434,905.683,2.07613,3.4645,0.21637,2.94E-05,5,6628.32,29.3617
La4O14Sn4,3,141.129,6.30751,60.688,454.023,2.20506,2.0853,0.282543,3.93E-05,22,3767.26,3.44255
O4Pt2,2,134.219,8.4695,18.4381,136.007,2.31201,0,0.470661,4.91E-05,6,1089.3,0.262206
O14Sn4Tb4,3,156.873,7.41013,60.1677,468.076,2.14609,2.2244,0.272806,3.77E-05,22,3739.03,4.11772
Ga4Mg2O8,3,164.183,5.06641,35.9677,583.895,2.06986,3.291,0.298482,4.11E-05,14,4291.26,5.80634
Cu2O4Sr2,7,97.3228,5.18432,22.7595,413.792,2.15882,0,0.287517,5.83E-05,8,3206.39,4.29353
Cr2Ho2O8,1,153.683,5.76995,32.5096,483.01,2.05185,0.19,0.305083,3.67E-05,12,3442.6,5.7556
Er4O14Sn4,3,159.914,7.76459,60.1182,468.959,2.13283,2.173,0.269272,3.75E-05,22,3695.24,4.27273
Cd1O6Pt3,7,192.442,10.8692,28.5854,377.132,2.3447,0.5795,0.332102,3.95E-05,10,2852.45,3.78171
Ni2O2Zr6,7,148.305,7.1175,28.0656,396.917,1.95239,0,0.308896,3.11E-05,10,3349.21,6.3661
O12Sr4Tb4,6,95.5051,6.05535,58.6207,314.079,1.95976,0,0.339322,5.06E-05,20,2636.29,1.6612
Ho4O14Sn4,3,158.78,7.65603,60.098,469.877,2.13811,2.1953,0.268858,3.76E-05,22,3719.41,4.25834
Ba1Nb4O6,9,196.584,6.77116,28.0621,579.942,2.04514,0,0.248395,2.69E-05,11,4445.91,12.4976
Br1O1Rb3,2,13.8761,3.37381,16.9955,167.83,2.19783,0.4057,0.245313,0.000212914,5,1894.5,0.773636
O2Pt2,9,182.58,13.2145,11.8866,268.068,2.3898,0.1971,0.382775,4.04E-05,4,2070.68,3.28977
Bi2O2Se1,1,96.5786,9.18333,14.9318,251.067,2.09493,0.4046,0.331572,4.65E-05,5,1958.38,3.51302
Ca4O14Ta4,3,179.833,6.24837,55.4063,603.043,2.01917,2.4623,0.229612,2.89E-05,22,4334.64,8.30922
Mg6O6,2,88.8306,2.2404,32.4177,502.877,1.88942,2.8856,0.343819,5.23E-05,12,4178.66,3.47269
O2Pb2,9,64.6239,8.32366,12.0913,239.04,2.09353,1.6215,0.2789,6.03E-05,4,1235.5,3.91442
O4Ru2,6,240.037,6.80223,15.3475,581.027,2.22537,0,0.313798,2.99E-05,6,4308.97,11.7534
Ba4Ce4O12,9,114.566,6.07561,57.076,374.065,2.08566,2.8768,0.302445,4.00E-05,20,3202.56,2.79546
As8O12,3,84.8991,3.38715,50.7266,604.907,2.02312,4.0171,0.123166,4.23E-05,20,1354.02,7.92942
O12Sn4Sr4,6,122.627,5.9135,55.729,451.164,2.2935,1.4249,0.276517,4.98E-05,20,3709.15,2.90029
In4Mg2O8,3,136.769,5.75203,38.4813,467.106,2.12797,1.9939,0.29984,4.46E-05,14,3559.01,4.1691
Br1K3O1,2,16.6486,2.39653,16.5417,235.057,2.13584,0.8846,0.231255,0.000196902,5,2510.72,1.29405
La1Mn1O3,2,158.135,6.45258,13.5245,496.996,2.22567,0,0.285947,4.17E-05,5,3909.14,9.48942
Ca3O12S3,4,112.131,2.4795,43.6306,674.113,2.08715,5.6793,0.259592,4.03E-05,18,4044.67,5.81437
Cd1O1,3,119.44,7.88122,5.87818,334.049,2.27237,0,0.335391,5.67E-05,2,2671.63,6.92665
Ca2O8Pd6,2,149.455,7.06505,46.0508,377.853,2.32809,0,0.354964,4.94E-05,16,2931.33,1.90335
Mn1O3Sr1,2,114.794,5.38267,13.6335,541.336,2.67903,0,0.220518,7.26E-05,5,4494.4,6.37594
O3Sn1Sr1,2,123.381,5.83693,13.7134,485.145,2.34861,0.3313,0.250559,4.94E-05,5,4081.44,8.68576
C2K8O8,9,64.9244,2.68394,51.7553,415.74,2.07922,3.0066,0.320248,7.81E-05,18,2512.33,1.59611
O14V4Y4,3,186.192,5.014,54.6916,625.851,2.03061,0.8073,0.285263,3.13E-05,22,4775.38,6.22808
Al4Cd2O8,3,168.776,5.03801,36.6475,547.086,1.97896,2.8029,0.324604,3.86E-05,14,4052.86,5.34032
O6Pt3Zn1,7,201.563,10.7992,28.7814,357.908,2.29863,0.5419,0.360084,3.93E-05,10,2560.9,3.12374
Cd4O14Ta4,3,186.161,7.93969,58.8812,499.029,2.06734,2.1174,0.269643,3.06E-05,22,3560.89,5.6234
Ca1O1,3,99.5719,3.28516,5.05334,619.873,2.06248,3.6357,0.216153,5.00E-05,2,5188.79,24.3778
O28P8Th4,2,125.712,3.45724,111.756,405.963,1.92163,5.3833,0.368308,3.01E-05,40,3187.9,1.73068
Cd4O12V4,6,181.275,6.29411,52.6891,537.872,2.12647,0.4482,0.301575,3.78E-05,20,3924.88,4.43936
Dy4Hf4O14,3,184.48,9.10692,59.6344,473.059,1.988,3.2266,0.263349,3.04E-05,22,3580.41,5.90862
O8Re4,6,297.017,11.1626,30.6759,575.033,2.17979,0,0.265361,2.38E-05,12,4026.43,12.2838
Bi4O14Pt4,3,171.618,10.4695,62.7359,379.919,2.2626,1.0682,0.30718,3.89E-05,22,2992.37,2.68623
Cd4O14Sb4,3,151.781,6.79017,60.1907,489.061,2.4621,0.4798,0.272074,4.70E-05,22,3818.83,2.9836
Ge2Mg2O6,7,182.446,5.06576,26.6514,525.878,2.13272,2.4289,0.359963,4.46E-05,10,3441.76,4.25803
Eu1O3Ti1,2,161.556,6.58174,13.1626,536.048,2.03525,0.7493,0.256541,3.61E-05,5,4406.48,14.8487
La4O14Ti4,3,166.285,5.40576,57.2375,552.056,2.0271,3.2676,0.280282,3.19E-05,22,4397.86,5.5638
O28P8Ti4,2,167.073,2.62021,88.6696,783.095,2.02954,3.0926,0.27987,2.60E-05,40,5459.71,5.41219
In2Na10O8,6,55.2628,3.10435,58.9254,381.001,2.05512,1.8407,0.30128,9.40E-05,20,3000.28,1.32893
Li4O8Rh4,3,171.653,5.94794,42.5278,536.08,2.22206,2.3816,0.316524,4.73E-05,16,3230,3.73499
O28P8Zr4,2,158.117,2.81595,97.7726,647.984,2.01705,4.4684,0.314294,2.72E-05,40,4838.03,3.84663
Cl1O4Rb1,3,59.1908,2.61862,17.2828,414.035,2.21047,5.2205,0.286734,7.46E-05,6,1745.97,3.66355
Cr2Cu2O4,4,152.151,5.32897,21.9533,472.135,2.13391,1.6367,0.341436,4.55E-05,8,3499.26,4.84194
O12Ta4V2,9,223.783,7.76615,47.1514,535.113,2.04829,0.8081,0.295432,2.72E-05,18,3701.62,6.97398
Mg6Mn1O8,3,142.438,3.58296,32.8671,810.063,2.06076,2.2626,0.202998,4.20E-05,15,5801.45,9.91502
O4V2,9,228.429,4.46159,13.2674,788.761,2.15625,0.7285,0.279105,2.75E-05,6,5664.84,19.367
Co2O2,4,122.06,4.9955,11.4625,377.864,1.97713,1.011,0.37313,5.09E-05,4,2906.97,4.85589
C4O12Sr4,6,121.976,3.64297,51.4799,578.81,1.95665,4.4409,0.277879,4.17E-05,20,3115.29,4.93664
Mn2O3Ta1,4,146.946,8.09908,16.8585,417.962,2.01291,0,0.309062,4.56E-05,6,3129.3,7.0869
Ge2Ni4O8,3,175.227,5.86812,36.5333,559.866,2.13317,1.9703,0.30369,4.19E-05,14,4118.07,5.28083
Ce1O2,3,178.377,6.89265,8.23808,449.91,2.09258,2.4184,0.321559,3.19E-05,3,3653.1,13.8996
O4Te2,9,142.519,5.95761,17.0061,393.969,2.17412,0,0.344181,4.01E-05,6,3178.45,5.12679
Fe4O11Sr4,7,125.799,5.17095,51.5294,508.216,2.27327,0,0.276002,5.27E-05,19,3998.11,3.26311
Na1O3W1,2,196.903,6.97981,13.1599,531.866,2.10753,0,0.292242,3.17E-05,5,4144.71,13.6807
Ni4O8Si2,3,199.234,5.20179,33.7467,676.136,2.04512,2.9464,0.287712,3.50E-05,14,4788.67,8.1978
Cr4O12Te2,9,193.028,5.52627,44.2923,647.782,2.22796,1.2773,0.267826,3.53E-05,18,4820.05,6.43882
O2Th1,3,167.763,8.86728,8.47007,380.059,1.99901,4.5404,0.307392,2.81E-05,3,3214.84,15.0171
Ga4Li4O8,6,120.112,4.06256,41.4373,581.879,2.02503,3.3069,0.275551,5.29E-05,16,3744.22,4.67502
Cl4O2Pd4,1,69.7168,4.69839,30.4213,253.135,2.36726,1.4743,0.369521,6.70E-05,10,1805.56,1.01977
O14Tb4Ti4,3,184.267,6.48621,56.6322,567.945,1.98553,3.3021,0.266086,3.09E-05,22,4354.63,6.63451
Na2O1,3,40.4111,2.38016,8.86953,435.964,2.04737,1.9195,0.246272,0.00013755,3,3811.26,4.91614
Cr4O8Zn2,1,177.21,5.20196,35.4803,601.935,2.05491,2.6349,0.296564,3.76E-05,14,4368.69,6.60566
Ga4O8Zn2,3,171.312,6.118,36.4072,563.798,2.07936,2.8556,0.287558,4.11E-05,14,4104.62,6.06248
Dy6Ga2O12,7,151.51,8.01849,56.2082,406.068,2.02025,3.6261,0.305736,3.79E-05,20,3062.16,3.51157
O2Zn2,4,158.323,7.16434,11.3208,409.102,1.99961,1.8555,0.363494,5.17E-05,4,2897.1,5.94554
Au2O4Rb2,7,59.6218,5.67883,24.4057,257.057,2.36253,1.7621,0.305435,7.25E-05,8,1620.88,1.67784
O2Se2Th2,9,124.878,8.68675,17.3987,314.984,2.06155,0.9607,0.297089,3.16E-05,6,2758.42,6.7443
Ba1O3Sn1,2,115.805,6.61382,14.0148,450.086,2.45161,0,0.2326,5.33E-05,5,3869.47,7.688
Ca1O3Zr1,2,149.232,4.12971,12.7014,592.162,2.0278,3.2142,0.274925,3.26E-05,5,4876.68,15.2909
Al4Co2O8,3,185.33,4.28096,32.8338,712.059,1.92815,3.9638,0.287198,3.38E-05,14,5124.17,9.26437
Ba2O14U4,1,138.36,7.43438,55.886,408.967,1.91951,2.9088,0.277781,3.28E-05,20,2406.93,4.72901
Mn1O1,3,138.794,5.11069,5.42456,499.764,2.15035,0.1755,0.310366,4.95E-05,2,3841.43,13.7516
O1Sr1,3,80.097,4.88035,5.6872,413.131,2.12578,3.2755,0.232998,5.83E-05,2,3680.11,13.3637
O8Pa4,2,197.987,10.7456,8.32703,422.059,2.05793,0,0.286045,2.92E-05,12,3371.11,18.0263
Bi4O14Ru4,3,177.832,8.66097,59.7278,479.911,2.17007,0,0.263872,3.55E-05,22,3639.43,4.65744
Cr4Mn2O8,3,165.87,4.642,36.8581,539.934,2.06594,2.3446,0.334156,3.93E-05,14,4002.51,4.60207
Au4La4O12,6,128.066,8.07361,57.7636,354.064,2.22988,1.9733,0.305266,4.36E-05,20,2639.15,2.32446
Ge2Mn4O8,6,160.312,5.41548,37.0911,536.919,2.14513,0.8331,0.311379,4.45E-05,14,3909.66,4.53693
Hf2O6Sr2,1,159.92,7.5111,26.7381,504.09,2.0447,4.0765,0.237444,3.36E-05,10,3954.2,10.0884
C4O8,2,95.4681,1.42749,24.9134,864.773,1.7556,6.61,0.216386,3.02E-05,12,1541.44,15.8106
Ca4Mn4O12,4,136.953,4.10294,52.2381,576.016,2.32855,0.8874,0.30091,5.22E-05,20,4074.2,3.07098
Hf4O4S4,2,159.952,8.11561,33.8416,385.996,1.95993,2.8657,0.315622,3.08E-05,12,2942.51,5.46788
Ba3O1Pb1,2,32.1449,6.15221,15.4944,198.96,2.13,0,0.213185,8.27E-05,5,2182.71,2.4635
Au2O4Sc2,4,125.86,7.76088,23.49,310.975,2.14139,2.2382,0.357762,4.68E-05,8,2471.45,2.75783
O8Si2Zr2,1,239.681,4.98541,27.9819,714.941,2.01348,4.0416,0.301433,2.62E-05,12,4935.83,11.5675
Ag2O4Y2,4,98.156,5.53412,23.6093,295.938,2.05254,2.5359,0.368022,4.92E-05,8,2483.02,2.29628
Au2O4Y2,4,109.392,7.73964,23.9149,253.07,2.14774,2.8141,0.379842,4.74E-05,8,2113.43,1.79906
Na4O12Sb4,3,121.915,4.57789,52.5652,567.262,2.44706,1.4776,0.231539,5.12E-05,20,4399.78,3.77467
O12Sb8,3,98.2339,5.12145,54.1383,494.048,2.13761,3.3387,0.169484,4.25E-05,20,1512.2,5.58758
O2Pd2,9,151.646,7.80173,11.7979,312.908,2.38902,0.178,0.387686,4.89E-05,4,2408.72,3.02912
Ba6O18Ti6,4,144.107,5.5749,79.2685,531.105,2.08153,2.1853,0.256314,3.75E-05,30,4140.8,4.05023
Ag4Al4O8,6,120.008,5.24078,45.485,397.045,2.02628,1.4608,0.346237,4.96E-05,16,2800.37,2.40141
O2Sn1,3,169.009,7.05277,8.56376,396.082,2.39625,0,0.363508,4.69E-05,3,2978.3,5.86964
Ba1O3Ti1,2,152.929,5.78831,12.846,578.888,2.1084,2.1335,0.227498,3.61E-05,5,4701.48,16.6821
Bi1O2,3,128.75,9.50777,8.87389,301.038,2.23717,0,0.346792,5.05E-05,3,2393.18,5.05798
Ag4O2,2,50.0423,6.62411,19.566,56.0669,2.48656,0.0868,0.487902,0.00011511,6,498.802,0.0174529
Mg4O8Si2,4,153.173,3.09028,30.8982,794.176,1.9489,4.5912,0.255885,3.51E-05,14,5061.55,10.325
Hf1O3Sr1,2,157.079,7.34344,13.4563,492.136,2.03861,3.7303,0.24633,3.36E-05,5,4032.03,15.1081
Ni1O1,3,174.022,6.56005,5.18907,572.08,2.09675,1.7949,0.28359,4.46E-05,2,4171.43,21.5038
Br2O8Y6,7,108.196,4.79677,45.7808,363.934,1.96517,4.2091,0.340542,4.01E-05,16,3037.46,2.68295
Gd4Hf4O14,3,179.098,8.75272,59.6557,472.1,1.98394,3.4526,0.262282,3.04E-05,22,3608.19,5.86906
Er4O14Tc4,3,189.886,7.86351,58.5289,514.094,2.09886,1.2928,0.273255,3.25E-05,22,3894.06,5.35573
La2O8P2,1,154.416,4.52769,32.7296,467.07,2.04585,5.3868,0.348994,3.46E-05,12,3157.69,4.44492
I1K3O1,2,15.8981,2.79143,16.6964,214.127,2.16846,1.0374,0.224335,0.000200555,5,2362.76,1.1755
O8P2Sc2,1,193.581,3.50882,26.3414,797.078,2.00226,4.8968,0.275425,2.79E-05,12,5161.67,12.7395
Bi1O3Sc1,2,135.508,7.20987,14.0081,419.021,2.04696,0.6582,0.289305,4.16E-05,5,3419.62,8.83105
O2Zr1,3,226.946,5.98871,7.561,599.013,2.01372,3.1237,0.30933,2.68E-05,3,4522.44,23.9236
O12Rh4Tb4,6,190.197,8.66614,55.6892,427.943,2.15589,1.7439,0.327532,3.64E-05,20,3170.5,3.24417
K4O12Sb4,3,111.152,4.62869,54.1402,522.796,2.5024,1.1259,0.236166,5.53E-05,20,4357.09,3.13029
Na2O8Pt6,2,184.629,11.7066,46.38,348.998,2.37786,0,0.340288,4.30E-05,16,2649.09,2.23931
O3Sr1Zr1,2,146.019,5.09365,13.0669,547.115,2.05797,3.2164,0.257406,3.40E-05,5,4550.11,14.8962
Dy4O14V4,3,207.71,6.92329,58.1807,547.997,2.72363,0.8117,0.283648,4.04E-05,22,4084.6,3.03527
Ca4N8O24,2,112.98,2.35409,73.3733,894.648,2.0932,3.6739,0.154564,3.93E-05,36,2406.53,6.49476
N8O4,2,66.0354,1.38626,29.4554,673.123,2.09403,3.331,0.246405,5.95E-05,12,1535.66,5.12946
Fe2In2O6,4,147.139,5.93802,28.8237,494.532,3.60862,0.9602,0.316767,7.96E-05,10,3706.26,1.88724
Mn4O10Sr4,6,115.114,5.07482,49.1569,498.828,2.27568,0.1202,0.264321,5.54E-05,18,3831.46,3.34065
Hf1O2,3,244.634,10.6975,8.07004,483.947,1.98761,3.8049,0.301848,2.75E-05,3,3593.82,21.8378
Ho4O14Ru4,3,189.487,7.98764,59.465,486.072,2.12943,0.5524,0.293876,3.41E-05,22,3689.22,4.36323
Al4Li4O8,9,128.029,2.52948,35.5852,788.066,1.89066,4.5894,0.26283,4.09E-05,16,4970.48,8.098
Ga2O12Tb6,7,149.331,7.77089,56.2311,405.045,2.02501,3.6365,0.307693,3.80E-05,20,3086.91,3.42866
Bi4In4O12,6,138.981,8.7703,57.8032,351.041,2.15986,2.494,0.322204,4.38E-05,20,2711.38,2.26327
Co1O3Sr1,2,118.375,5.58305,14.0016,449.896,2.14929,0,0.307579,5.97E-05,5,3669.01,5.97575
La2O2Te1,1,86.6415,6.21099,14.6406,302.027,2.02509,1.9022,0.293289,4.04E-05,5,2441.86,5.815
Ba1O3Pr1,2,109.112,6.0309,14.2926,371.967,2.07806,0,0.296061,4.15E-05,5,3299.02,7.03495
